id,path,claim,place
https://openalex.org/W4282939378,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1017_s2045796022000269.pdf,No significant difference in the frequency of mental disorders was found between SH+ and ETAU at 12 months (RR=0.841; p=0.659),
https://openalex.org/W4282939378,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1017_s2045796022000269.pdf,"SH+ was associated with improvements at 12 months in psychological distress (p=0.004), depressive symptoms (p=0.011) and wellbeing (p=0.001)",Improvement in psychological distress (GHQ-12 score) at 12 months
https://openalex.org/W4282939378,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1017_s2045796022000269.pdf,"In the per protocol population (attending at least 3 sessions), SH+ showed no significant reduction in mental disorders compared to ETAU (RR=0.528; p=0.230)",
https://openalex.org/W3017984468,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.3390_ijerph17082871.pdf,ADHD patients more often reported suicidal ideation (46.0% vs. 5.9%; p < 0.001) compared to controls,
https://openalex.org/W3017984468,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.3390_ijerph17082871.pdf,"ADHD patients had significantly higher suicide rates than controls, with a standardized mortality ratio of 4.83 (95% CI: 1.14-20.46; p < 0.05)",
https://openalex.org/W3017984468,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.3390_ijerph17082871.pdf,"ADHD patients had higher scores for all negative affective temperaments compared to controls, with significant differences on all scales administered except for TEMPS-A Hyperthymia (p < 0.001)",TEMPS-A Depression scores were higher in ADHD patients (11.35 ± 3.81) compared to controls (6.22 ± 2.65)
https://openalex.org/W3117182283,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.4992_pacjpa.82.0_3pm-102.pdf,"Supervisor's support has a significant positive relationship with organizational support (β=.60, p<.01)",
https://openalex.org/W3117182283,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.4992_pacjpa.82.0_3pm-102.pdf,The relationship between supervisor's support and organizational support is stronger when supervisor's support is uniform across the organization,
https://openalex.org/W4387477367,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/0939-5911_a000832.pdf,"In a pilot study, STARK (Skills Training in Affect Regulation) showed positive effects and good feasibility for refugees with psychological stress (Koch et al., 2020)",
https://openalex.org/W4387477367,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/0939-5911_a000832.pdf,"Prevalence estimates for risky alcohol consumption among refugees range from 17 to 36% in camps/shelters and 4 to 7% after relocation to other settings (Horyniak et al., 2016)",
https://openalex.org/W4387477367,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/0939-5911_a000832.pdf,"Male gender represents a significant risk factor for risky substance use among refugees (Horyniak et al., 2016)",
https://openalex.org/W2309201146,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.5178_lebs.2016.42.pdf,Males report being more altruistic and cooperative when viewing attractive female images compared to unattractive images (significant interaction between sex and attractiveness),
https://openalex.org/W2309201146,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.5178_lebs.2016.42.pdf,There was a significant main effect of sex on altruism and cooperation,The main effect of sex on cooperation
https://openalex.org/W2309201146,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.5178_lebs.2016.42.pdf,There was a significant main effect of attractiveness on altruism and cooperation,
https://openalex.org/W2766052557,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.3389_fpsyg.2017.01826.pdf,"The EMDR-IGTP treatment significantly reduced PTSD symptoms as measured by IES-R total scores between T1 and T3 (F(2,58) = 17.78, p < 0.001)",
https://openalex.org/W2766052557,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.3389_fpsyg.2017.01826.pdf,"The EMDR-IGTP treatment showed significant reductions in all three IES-R subscales (intrusion, avoidance, and hyperarousal) between T1 and T3 (p < 0.001)",
https://openalex.org/W2766052557,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.3389_fpsyg.2017.01826.pdf,The SUD (Subjective Units of Disturbance) scores showed significant reduction between first and final sessions (p < 0.05),
https://openalex.org/W4364355608,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1016_j.nicl.2023.103401.pdf,Patients with MDD showed reduced performance particularly at high n-back load and prolonged reaction times at all n-back loads compared to healthy controls (p<0.001),
https://openalex.org/W4364355608,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1016_j.nicl.2023.103401.pdf,Analysis of covariance within the MDD sample showed that physical fitness was associated with neural activity in right and left superior parietal lobules (p<0.05),Correlation between physical fitness and neural activity in left superior parietal lobule (Peak2 in Table 3)
https://openalex.org/W4364355608,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1016_j.nicl.2023.103401.pdf,Whole-brain analysis of group by WM load revealed reduced neural activity in six frontoparietal clusters at medium and high WM loads in MDD patients compared to healthy controls (p<0.05),
https://openalex.org/W2903626356,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.32598_ptj.7.3.133.pdf,"HW girls have higher physical self-efficacy, perceived physical ability and physical self-presentation confidence compared to OW girls (P≤0.01)",Physical self-efficacy scores comparison between HW and OW girls
https://openalex.org/W2903626356,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.32598_ptj.7.3.133.pdf,"HW girls have significantly higher VO2 max values compared to OW girls (t=11.72, df=118, P=0.001)",
https://openalex.org/W2903626356,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.32598_ptj.7.3.133.pdf,"There is a significant positive relationship between VO2 max and physical self-efficacy in both HW (r=0.77, P=0.001) and OW (r=0.61, P=0.01) groups, with a significantly stronger association in HW girls (Z=2.21, P=0.01)",
https://openalex.org/W4210775865,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1007_s12144-022-02796-7.pdf,"Adolescents described being alone as loneliness less often than expected compared to adults who described being alone as loneliness more often than expected (χ2(1, N=1066)=8.51, p=0.004)",
https://openalex.org/W4210775865,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1007_s12144-022-02796-7.pdf,"Adolescents described being alone as negative more often than expected compared to adults who described being alone as negative less often than expected (χ2(1, N=1066)=8.63, p=0.003)",
https://openalex.org/W4210775865,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.1007_s12144-022-02796-7.pdf,"Being female (OR=1.49, p=0.015) and higher age (OR=1.10, p=0.049) were associated with describing being alone as loneliness in the adolescent sample, while lower age (OR=0.971, p<0.001) was associated with describing being alone as loneliness in the adult sample",
https://openalex.org/W2576096217,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.17060_ijodaep.2014.n1.v6.738.pdf,"There is a statistically significant positive relationship between emotional awareness and academic performance, with students who have better academic performance showing higher scores in differentiating emotions, attending to others' emotions, and analyzing their own emotions","The correlation between attending to others' emotions and academic performance (r=.180, p<.001)"
https://openalex.org/W2576096217,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.17060_ijodaep.2014.n1.v6.738.pdf,"Students who failed the previous academic year obtained significantly lower scores in emotional awareness factors and happiness, and higher scores in sadness and anger",Students who failed the previous year scored significantly lower on attending to others' emotions (M=2.45) compared to those who passed (M=2.60)
https://openalex.org/W2576096217,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.17060_ijodaep.2014.n1.v6.738.pdf,"Emotional variables (attending to others' emotions, analyzing own emotions, differentiating emotions, verbal communication, and happiness) significantly predict academic performance, explaining 6.5% of the variance","Attending to others' emotions predicting academic performance (β=.120, p=.000)"
https://openalex.org/W2173283340,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.5455_jmood.20131213042312.pdf,"The mean daily duration of internet use, IAT scores, and BDI scores in the study group were significantly higher than those of the control group (p<0.001)",
https://openalex.org/W2173283340,wsl.localhost/Ubuntu-22.04/mnt/storage/python/pcurves/data/pdfs/10.5455_jmood.20131213042312.pdf,"Problem-focused coping strategies (instrumental social support, active coping, planning) were significantly lower in the patient group compared to the control group (p<0.001)",
